Campaign Name,Ad Set Name,Platform,Delivery Status,Delivery Level,Campaign Name.1,Result Type,Results,Reach,Impressions,Cost per Result,Amount Spent (ARS),3-Second Video Views,Video Average Watch Time,Frequency,Starts,Ends,Link Clicks,CPC (Cost per Link Click),CTR (Link Click-Through Rate),Post Reactions,Post Comments,Post Shares,10-Second Video Views,Cost per 10-Second Video View,Reporting Starts,Reporting Ends,VTR,E.R.
MAYO/JUNIO - MX - STRY - WEBBY,MX - WEBBY - STRY,instagram,completed,adset,MAYO/JUNIO - MX - STRY - WEBBY,ThruPlay,7393,66881,135354,1.1835520086568,8750.0,12824,1,2.0238034718380002,2019-05-27,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,8295,1.05485232,2019-05-24,2019-06-30,0.1917435445044183,0.0
MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB,MX - SEGURIDAD - FB,instagram,completed,adset,MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB,ThruPlay,9,740,740,1.8655726122193999,16.790153509975,78,2,1.0,2019-05-24,2019-06-30,0.0,0.0,0.0,1.0,0.0,0.0,17,0.98765609,2019-05-24,2019-06-30,0.10540540540540541,0.0013513513513513514
MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB,MX - SEGURIDAD - FB,audience_network,completed,adset,MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB,ThruPlay,2445,6336,10652,0.42546401265607,1040.2595109441,10438,10,1.6811868686868998,2019-05-24,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,3163,0.32888382,2019-05-24,2019-06-30,1.6474116161616161,0.0
MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS,SEGURIDAD - FB,instagram,completed,adset,MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS,ThruPlay,161,5632,5979,1.0707404468014001,172.38921193503003,891,2,1.0616122159091,2019-05-24,2019-06-30,0.0,0.0,0.0,10.0,0.0,0.0,259,0.66559541,2019-05-24,2019-06-30,0.158203125,0.0017755681818181818
MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS,SEGURIDAD - FB,audience_network,completed,adset,MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS,ThruPlay,1020,1792,3725,0.5304387516077199,541.04752663988,3643,11,2.0786830357143,2019-05-24,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,1184,0.45696582,2019-05-24,2019-06-30,2.032924107142857,0.0
MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS,SEGURIDAD - FB,facebook,completed,adset,MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS,ThruPlay,4986,69536,185119,1.6118257644254,8036.5632614251,20780,3,2.6622037505752005,2019-05-24,2019-06-30,0.0,0.0,0.0,30.0,8.0,1.0,7289,1.10256047,2019-05-24,2019-06-30,0.2988380119650253,0.0005608605614358031
MAYO - BR - IG - DORA,BR - DORA - FB,instagram,not_delivering,adset,MAYO - BR - IG - DORA,ThruPlay,876,28264,30450,0.86522831050228,757.94,4704,2,1.0773422020945,2019-05-27,2019-06-30,0.0,0.0,0.0,68.0,0.0,0.0,1136,0.6672007,2019-05-24,2019-06-30,0.16643079535805264,0.002405887347863006
MAYO/JUNIO - BR - IG - DORA,BR - DORA - IG,instagram,completed,adset,MAYO/JUNIO - BR - IG - DORA,ThruPlay,8695,174209,286233,1.0063254744105998,8750.0,46066,2,1.6430437003829,2019-05-28,2019-06-30,0.0,0.0,0.0,620.0,5.0,9.0,11494,0.76126675,2019-05-24,2019-06-30,0.26442950708631585,0.0036393068096367007
MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB,BENEFICIOS - FB - BR,facebook,completed,adset,MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB,ThruPlay,6380,83328,147404,1.2007570532915,7660.83,35323,3,1.7689612135176997,2019-05-24,2019-06-30,768.0,9.97503906,0.52101706873626,164.0,12.0,18.0,11210,0.68339251,2019-05-24,2019-06-30,0.4239031298003072,0.01154473886328725
MAYO/JUNIO BR - SEGURIDAD - IG,BR - SEGURIDAD - IG,instagram,completed,adset,MAYO/JUNIO BR - SEGURIDAD - IG,ThruPlay,4792,148416,250394,1.825959933222,8750.0,33727,2,1.6871092065545,2019-06-03,2019-06-30,0.0,0.0,0.0,169.0,1.0,4.0,7976,1.09704112,2019-05-24,2019-06-30,0.2272463885295386,0.0011723803363518758
MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB,BENEFICIOS - FB - BR,instagram,completed,adset,MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB,ThruPlay,3,146,146,0.5833333333333299,1.75,36,3,1.0,2019-05-24,2019-06-30,0.0,0.0,0.0,0.0,0.0,0.0,6,0.29166667,2019-05-24,2019-06-30,0.2465753424657534,0.0
