Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
199643730387838_920917031593834,https://www.facebook.com/NogginBR/posts/920917031593834,Video,0.0,0.0,06/29/2019 02:30:00 PM, ,56,56,0,77,77,0,4,3,4,0,0,68,49,0,0,2,1,1,0,0,10,10,0,0,2938,15699,2,0.0,0.0,2,0.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2019-06-29,14,Sábado,6,0.1786,0.0714
199643730387838_920915234927347,https://www.facebook.com/NogginBR/posts/920915234927347,Video,0.0,0.0,06/28/2019 04:31:43 PM, ,563,563,0,748,748,0,15,4,8,0,0,90,61,0,0,4,12,12,0,0,60,68,0,0,3152,24190,9,3.0,4.0,10,3.0,8.0,3.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,2019-06-28,16,Viernes,6,0.1066,0.0355
199643730387838_915598268792377,https://www.facebook.com/NogginBR/posts/915598268792377,Video,0.0,0.0,06/25/2019 07:45:00 AM, ,100,100,0,138,138,0,3,3,3,0,0,124,91,0,0,2,0,0,0,0,13,16,0,0,2636,24467,1,0.0,1.0,1,0.0,1.0,2.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2019-06-25,7,Martes,6,0.13,0.03
199643730387838_915602292125308,https://www.facebook.com/NogginBR/posts/915602292125308,Video,0.0,0.0,06/22/2019 10:00:01 AM, ,456,456,0,617,617,0,18,9,12,0,0,110,67,0,0,5,10,10,0,0,56,64,0,0,3794,41705,9,3.0,1.0,10,3.0,1.0,4.0,6.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,2019-06-22,10,Sábado,6,0.1228,0.0417
199643730387838_911245355894335,https://www.facebook.com/NogginBR/posts/911245355894335,Video,0.0,0.0,06/15/2019 01:24:00 PM, ,441,346,94,579,486,93,11,7,9,0,0,89,49,1,1,4,19,22,0,0,52,59,17,17,4239,15145,4,1.0,2.0,6,1.0,2.0,4.0,4.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,2019-06-15,13,Sábado,6,0.1179,0.0249
199643730387838_910574282628109,https://www.facebook.com/NogginBR/posts/910574282628109,Video,0.0,0.0,06/14/2019 03:57:05 PM, ,49,49,0,64,64,0,4,3,4,0,0,51,35,0,0,1,5,5,0,0,12,15,0,0,6053,18814,1,0.0,0.0,1,0.0,0.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,2019-06-14,15,Viernes,6,0.2449,0.0408
199643730387838_906088426410028,https://www.facebook.com/NogginBR/posts/906088426410028,Video,0.0,0.0,06/08/2019 02:50:25 PM, ,409,409,0,562,562,0,82,70,93,0,0,111,67,0,0,5,66,76,0,0,148,165,0,0,9703,17577,11,3.0,1.0,13,3.0,2.0,67.0,8.0,0.0,0.0,83.0,10.0,0.0,0.0,0.0,0.0,2019-06-08,14,Sábado,6,0.3619,0.0562
199643730387838_905390936479777,https://www.facebook.com/NogginBR/posts/905390936479777,Video,0.0,0.0,06/07/2019 04:05:28 PM, ,82,82,0,100,100,0,11,8,12,0,0,86,69,0,0,5,3,3,0,0,23,24,0,0,6709,35305,2,1.0,0.0,2,1.0,0.0,7.0,3.0,0.0,0.0,8.0,4.0,0.0,0.0,0.0,0.0,2019-06-07,16,Viernes,6,0.2805,0.0732
199643730387838_902305730121631,https://www.facebook.com/NogginBR/posts/902305730121631,Video,0.0,0.0,06/03/2019 01:15:46 PM, ,92,92,0,122,122,0,7,4,4,0,0,106,78,0,0,4,4,4,0,0,27,28,0,0,4293,19015,3,1.0,0.0,3,1.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,2019-06-03,13,Lunes,6,0.2935,0.087
199643730387838_902299483455589,https://www.facebook.com/NogginBR/posts/902299483455589,Video,0.0,0.0,06/03/2019 01:01:11 PM, ,93,93,0,122,122,0,4,2,2,0,0,105,81,0,0,3,3,3,0,0,13,13,0,0,4355,28512,2,1.0,0.0,2,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2019-06-03,13,Lunes,6,0.1398,0.0538
