Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
905878352825130_2279754628770822,https://www.facebook.com/NogginLA/posts/2279754628770822,Video,0.0,0.0,06/29/2019 07:00:02 AM, ,220,220,0,296,296,0,13,10,16,0,0,241,186,0,0,4,13,14,0,0,28,30,0,0,3191,15337,3.0,0.0,0.0,3.0,0.0,0.0,7.0,7.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,2019-06-29,7,Sábado,6,0.1273,0.0455
905878352825130_2279717605441191,https://www.facebook.com/NogginLA/posts/2279717605441191,Video,0.0,0.0,06/28/2019 07:00:02 AM, ,263,263,0,331,331,0,14,11,17,0,0,288,236,0,0,7,15,15,0,0,53,57,0,0,5247,24190,4.0,0.0,0.0,4.0,0.0,0.0,9.0,7.0,0.0,0.0,9.0,8.0,0.0,0.0,0.0,0.0,2019-06-28,7,Viernes,6,0.2015,0.0418
905878352825130_2274565079289777,https://www.facebook.com/NogginLA/posts/2274565079289777,Video,0.0,0.0,06/25/2019 07:00:01 AM, ,612,454,151,735,580,155,18,16,20,0,0,531,413,8,8,7,10,10,1,1,64,69,23,23,2991,24467,2.0,0.0,0.0,2.0,0.0,0.0,12.0,8.0,0.0,0.0,12.0,8.0,0.0,0.0,0.0,0.0,2019-06-25,7,Martes,6,0.1046,0.0163
905878352825130_2269069103172708,https://www.facebook.com/NogginLA/posts/2269069103172708,Video,0.0,0.0,06/22/2019 06:00:01 AM, ,259,259,0,326,326,0,38,37,55,1,2,250,204,0,0,6,25,29,0,0,70,86,0,0,9313,41705,3.0,1.0,0.0,4.0,1.0,0.0,33.0,14.0,0.0,0.0,40.0,15.0,0.0,0.0,2.0,1.0,2019-06-22,6,Sábado,6,0.2703,0.0695
905878352825130_2256699621076323,https://www.facebook.com/NogginLA/posts/2256699621076323,Video,0.0,0.0,06/15/2019 07:00:37 AM, ,323,323,0,409,409,0,27,25,39,0,0,274,228,0,0,9,23,24,0,0,69,74,0,0,4218,15145,4.0,1.0,0.0,4.0,1.0,0.0,20.0,15.0,0.0,0.0,22.0,17.0,0.0,0.0,0.0,0.0,2019-06-15,7,Sábado,6,0.2136,0.0619
905878352825130_2257157257697226,https://www.facebook.com/NogginLA/posts/2257157257697226,Video,0.0,0.0,06/14/2019 07:40:57 PM, ,268,268,0,337,338,0,18,17,29,0,0,261,213,0,0,2,21,22,0,0,64,69,0,0,5861,18814,1.0,0.0,0.0,1.0,0.0,0.0,16.0,9.0,0.0,0.0,19.0,10.0,0.0,0.0,0.0,0.0,2019-06-14,19,Viernes,6,0.2388,0.0373
905878352825130_2240430762703209,https://www.facebook.com/NogginLA/posts/2240430762703209,Video,0.0,0.0,06/08/2019 08:00:01 AM, ,321,321,0,411,411,0,57,56,81,1,1,312,243,0,0,6,52,66,0,0,99,124,0,0,8525,17022,1.0,0.0,0.0,1.0,0.0,0.0,51.0,17.0,0.0,0.0,60.0,21.0,0.0,0.0,1.0,1.0,2019-06-08,8,Sábado,6,0.3084,0.0561
905878352825130_2240417886037830,https://www.facebook.com/NogginLA/posts/2240417886037830,Video,0.0,0.0,06/07/2019 08:00:02 AM, ,233,233,0,297,297,0,24,23,35,0,0,218,173,0,0,3,22,23,0,0,62,64,0,0,8816,30910,2.0,0.0,0.0,2.0,0.0,0.0,23.0,6.0,0.0,0.0,27.0,8.0,0.0,0.0,0.0,0.0,2019-06-07,8,Viernes,6,0.2661,0.0343
905878352825130_1023450517848511,https://www.facebook.com/NogginLA/videos/1023450517848511/,Video,0.0,0.0,06/01/2019 10:25:56 AM, ,224,224,0,281,281,0,365,365,515,0,0,33,19,0,0,34,62,79,0,0,284,379,0,0,34643,34643,1.0,0.0,0.0,1.0,0.0,0.0,365.0,23.0,0.0,0.0,490.0,25.0,0.0,0.0,0.0,0.0,2019-06-01,10,Sábado,6,0.0,0.1071
905878352825130_2233298350083117,https://www.facebook.com/NogginLA/posts/2233298970083055:0,Photo,0.0,0.0,06/01/2019 10:18:07 AM, ,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01,10,Sábado,6,0.0,0.0
