Date,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach
2019-03-01,34350,2.0,3.0,29,182,676,84,1355,2041,83,1353
2019-03-02,34350,3.0,2.0,25,187,653,30,1316,1959,29,1312
2019-03-03,34346,,3.0,19,150,612,389,844,2101,389,840
2019-03-04,34344,1.0,1.0,29,145,600,229,789,2184,228,783
2019-03-05,34342,,1.0,19,139,587,77,785,2199,77,779
2019-03-06,34339,,1.0,14,136,577,62,814,2216,62,810
2019-03-07,34340,1.0,,14,133,575,28,825,2213,27,819
2019-03-08,34339,3.0,3.0,23,126,565,73,816,2196,73,811
2019-03-09,34335,1.0,3.0,57,151,588,195,921,2193,195,918
2019-03-10,34334,2.0,3.0,59,193,624,363,844,2285,363,841
2019-03-11,34333,1.0,1.0,41,205,649,198,866,2350,197,864
2019-03-12,34333,,,34,213,657,81,887,2389,81,886
2019-03-13,34333,1.0,1.0,47,247,685,151,1013,2491,150,1010
2019-03-14,34331,1.0,3.0,57,287,706,96,1061,2542,95,1059
2019-03-15,34330,1.0,2.0,71,324,740,76,1081,2577,75,1079
2019-03-16,34326,2.0,4.0,96,362,801,89,977,2580,88,974
2019-03-17,34323,,3.0,74,372,841,229,814,2641,229,810
2019-03-18,34321,1.0,3.0,38,366,850,69,719,2648,68,714
2019-03-19,34318,,1.0,39,373,870,63,706,2681,63,702
2019-03-20,34316,2.0,2.0,64,396,903,128,679,2745,126,675
2019-03-21,34313,1.0,1.0,109,456,977,133,714,2835,133,711
2019-03-22,34312,1.0,1.0,147,526,1096,170,820,2942,170,819
2019-03-23,34316,4.0,,128,546,1191,466,1184,3250,466,1182
2019-03-24,34314,,,208,649,1292,228,1182,2967,228,1180
2019-03-25,34313,,,179,759,1392,209,1303,2900,208,1301
2019-03-26,34313,1.0,,175,858,1512,205,1408,3014,204,1404
2019-03-27,34311,1.0,1.0,166,956,1630,171,1432,3113,171,1430
2019-03-28,34310,,,155,1000,1735,181,1472,3225,177,1466
2019-03-29,34309,1.0,2.0,124,969,1787,150,1474,3304,148,1466
2019-03-30,34306,1.0,3.0,193,1019,1907,242,1256,3439,241,1249
2019-03-31,34305,1.0,2.0,191,1033,2017,114,1157,3314,113,1147
2019-04-01,34304,1.0,1.0,201,1071,2135,433,1337,3549,431,1328
2019-04-02,34303,1.0,2.0,175,1049,2249,237,1345,3684,236,1337
2019-04-03,34302,3.0,2.0,194,1074,2379,232,1426,3827,230,1414
2019-04-04,34300,,2.0,196,1076,2525,263,1485,3968,262,1474
2019-04-05,34297,,2.0,213,1155,2652,315,1604,4120,315,1595
2019-04-06,34298,5.0,1.0,229,1164,2765,455,1865,4315,455,1855
2019-04-07,34299,4.0,2.0,227,1200,2880,413,2167,4425,413,2161
2019-04-08,34298,2.0,3.0,151,1175,2963,259,2038,4523,256,2030
2019-04-09,34297,1.0,1.0,151,1184,3045,281,2038,4560,281,2033
2019-04-10,34294,1.0,2.0,168,1182,3154,217,2033,4626,216,2030
2019-04-11,34292,,1.0,184,1159,3206,243,2027,4724,242,2022
2019-04-12,34292,2.0,,177,1119,3279,343,2019,4837,342,2014
2019-04-13,34290,2.0,3.0,167,1083,3334,305,1845,5181,302,1837
2019-04-14,34286,,1.0,218,1081,3434,559,1993,5396,556,1988
2019-04-15,34286,1.0,1.0,162,1074,3532,300,2030,5532,296,2025
2019-04-16,34282,,3.0,157,1074,3589,245,1990,5609,243,1985
2019-04-17,34283,3.0,2.0,197,1105,3660,281,2014,5657,280,2009
2019-04-18,34285,2.0,,209,1122,3702,420,2135,5809,418,2132
2019-04-19,34283,,1.0,213,1126,3732,408,2149,5947,407,2141
2019-04-20,34287,5.0,,126,1100,3770,334,2138,5834,334,2132
2019-04-21,34286,1.0,1.0,117,1001,3726,310,2009,5890,309,2006
2019-04-22,34283,2.0,4.0,84,948,3720,182,1953,5847,181,1951
2019-04-23,34283,1.0,,64,895,3654,106,1857,5780,103,1852
2019-04-24,34286,2.0,,42,770,3555,29,1659,5698,28,1652
2019-04-25,34283,1.0,2.0,30,631,3471,21,1294,5630,20,1284
