Date,Lifetime Total Likes,Daily New Likes,Daily Unlikes,Daily Page Engaged Users,Weekly Page Engaged Users,28 Days Page Engaged Users,Daily Total Reach,Weekly Total Reach,28 Days Total Reach,Daily Organic Reach,Weekly Organic Reach
2019-03-01,64382,1.0,2.0,372,2190,7880,636,2366,6968,628,2319
2019-03-02,64378,1.0,2.0,435,2285,8028,375,2470,7067,367,2424
2019-03-03,64376,1.0,1.0,428,2369,8150,321,2549,7120,314,2504
2019-03-04,64374,3.0,3.0,398,2470,8210,287,2601,7200,280,2542
2019-03-05,64372,1.0,1.0,497,2641,8393,307,2507,7354,305,2447
2019-03-06,64370,1.0,2.0,538,2807,8566,300,2552,7424,291,2487
2019-03-07,64370,2.0,1.0,583,3085,8743,272,2497,7454,270,2437
2019-03-08,64368,,3.0,593,3225,9007,418,2184,7464,413,2135
2019-03-09,64362,,5.0,343,3113,8920,764,2497,7468,764,2457
2019-03-10,64360,2.0,3.0,248,2884,8846,568,2700,7674,567,2667
2019-03-11,64359,2.0,2.0,168,2634,8708,316,2745,7691,314,2734
2019-03-12,64359,5.0,2.0,145,2328,8636,175,2598,7610,173,2587
2019-03-13,64360,1.0,,196,2096,8468,85,2389,7503,76,2376
2019-03-14,64361,5.0,4.0,508,1995,8679,129,2258,7404,126,2237
2019-03-15,64361,1.0,1.0,592,1964,8797,260,2085,7344,254,2063
2019-03-16,64355,2.0,3.0,696,2316,9111,1150,2398,7851,1143,2373
2019-03-17,64354,3.0,2.0,740,2693,9382,601,2484,8053,599,2444
2019-03-18,64357,7.0,3.0,671,3117,9714,649,2847,8496,640,2788
2019-03-19,64359,3.0,,475,3360,9702,396,3131,8626,395,3063
2019-03-20,64357,3.0,1.0,466,3589,9995,287,3299,8786,283,3240
2019-03-21,64350,1.0,5.0,413,3589,9952,360,3560,8943,360,3504
2019-03-22,64348,2.0,3.0,547,3538,10162,577,3854,9170,571,3821
2019-03-23,64342,3.0,5.0,525,3376,10106,786,3381,9458,782,3340
2019-03-24,64339,,3.0,817,3488,10406,727,3532,9816,717,3499
2019-03-25,64334,2.0,4.0,773,3624,10748,628,3648,10115,624,3630
2019-03-26,64331,2.0,3.0,766,3880,11232,527,3720,10290,522,3714
2019-03-27,64325,1.0,,611,4025,11484,476,4010,10487,474,4003
2019-03-28,64325,4.0,1.0,600,4075,11624,579,4135,10771,572,4120
2019-03-29,64325,3.0,2.0,693,4142,11727,1384,4754,11272,1376,4724
2019-03-30,64323,3.0,3.0,707,4514,11828,1063,5213,11760,1054,5173
2019-03-31,64324,2.0,1.0,783,4451,12205,1758,6088,13007,1751,6066
2019-04-01,64327,4.0,,636,4211,12428,1330,6533,13777,1328,6507
2019-04-02,64320,,7.0,700,4142,12669,1066,6945,14459,1063,6916
2019-04-03,64321,3.0,2.0,651,4349,12694,747,7170,14751,743,7139
2019-04-04,64321,3.0,1.0,499,4017,12699,757,7224,14984,751,7192
2019-04-05,64317,1.0,4.0,449,3873,12525,831,6838,15327,823,6803
2019-04-06,64323,9.0,1.0,621,3880,12782,1905,7784,16976,1897,7725
2019-04-07,64321,1.0,3.0,575,3867,13114,879,7308,17456,872,7239
2019-04-08,64318,2.0,2.0,612,3795,13516,572,6600,17560,569,6561
2019-04-09,64322,5.0,1.0,754,3808,13887,669,6196,17983,664,6169
2019-04-10,64322,2.0,1.0,719,3907,14171,611,5864,18288,609,5854
2019-04-11,64318,3.0,4.0,649,3968,14310,538,5718,18633,533,5699
2019-04-12,64315,3.0,2.0,653,4150,14400,810,5680,19114,803,5657
2019-04-13,64315,5.0,4.0,779,4203,14424,612,4487,18703,605,4460
2019-04-14,64310,3.0,4.0,727,4275,14382,700,4211,18950,689,4180
2019-04-15,64311,5.0,,829,4443,14494,4935,8428,22710,4924,8384
2019-04-16,64313,2.0,,840,4569,14697,1837,9213,23687,1835,9175
2019-04-17,64311,5.0,5.0,782,4655,14821,1124,9653,24299,1117,9612
2019-04-18,64313,5.0,2.0,714,4764,15236,1021,10254,25002,1010,10221
2019-04-19,64316,5.0,1.0,690,4880,15358,942,10420,25045,931,10397
