Post ID,Permalink,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Fecha,Hora,Dia,Mes,VTR,E.R.
905878352825130_2279754628770822,https://www.facebook.com/NogginLA/posts/2279754628770822,Video,0.0,0.0,06/29/2019 07:00:02 AM, ,275,275,0,367,367,0,31,28,42,0,0,267,203,0,0,6,34,36,0,0,89,97,0,0,5185,15337,3.0,0.0,0.0,3.0,0.0,0.0,23.0,17.0,0.0,0.0,24.0,18.0,0.0,0.0,0.0,0.0,2019-06-29,7,Sábado,6,0.3236,0.0727
905878352825130_2279717605441191,https://www.facebook.com/NogginLA/posts/2279717605441191,Video,0.0,0.0,06/28/2019 07:00:02 AM, ,316,316,0,398,398,0,47,43,77,0,0,312,253,0,0,10,46,55,0,0,123,138,0,0,9265,24190,4.0,0.0,0.0,4.0,0.0,0.0,37.0,29.0,0.0,0.0,43.0,34.0,0.0,0.0,0.0,0.0,2019-06-28,7,Viernes,6,0.3892,0.1044
905878352825130_2274565079289777,https://www.facebook.com/NogginLA/posts/2274565079289777,Video,0.0,0.0,06/25/2019 07:00:01 AM, ,87881,535,87109,202006,686,201320,526,488,688,0,0,3608,1382,3058,988,16,15,15,2234,2709,97,110,22621,30083,3174,24467,43.0,4.0,1.0,43.0,4.0,1.0,451.0,39.0,0.0,0.0,646.0,42.0,0.0,0.0,0.0,0.0,2019-06-25,7,Martes,6,0.0011,0.001
905878352825130_2269069103172708,https://www.facebook.com/NogginLA/posts/2269069103172708,Video,0.0,0.0,06/22/2019 06:00:01 AM, ,310,310,0,395,395,0,58,56,81,1,2,271,216,0,0,8,42,50,0,0,110,130,0,0,10793,41705,5.0,1.0,0.0,6.0,1.0,0.0,51.0,22.0,0.0,0.0,58.0,23.0,0.0,0.0,2.0,1.0,2019-06-22,6,Sábado,6,0.3548,0.0903
905878352825130_2256699621076323,https://www.facebook.com/NogginLA/posts/2256699621076323,Video,0.0,0.0,06/15/2019 07:00:37 AM, ,369,369,0,465,465,0,41,39,60,0,0,294,241,0,0,10,35,37,0,0,97,106,0,0,6052,15145,4.0,1.0,0.0,4.0,1.0,0.0,30.0,24.0,1.0,0.0,33.0,26.0,1.0,0.0,0.0,0.0,2019-06-15,7,Sábado,6,0.2629,0.0813
905878352825130_2257157257697226,https://www.facebook.com/NogginLA/posts/2257157257697226,Video,0.0,0.0,06/14/2019 07:40:57 PM, ,310,310,0,394,395,0,29,27,44,0,0,283,224,0,0,2,34,36,0,0,90,95,0,0,6294,18814,3.0,0.0,0.0,3.0,0.0,0.0,24.0,16.0,0.0,0.0,27.0,17.0,0.0,0.0,0.0,0.0,2019-06-14,19,Viernes,6,0.2903,0.0613
905878352825130_2240430762703209,https://www.facebook.com/NogginLA/posts/2240430762703209,Video,0.0,0.0,06/08/2019 08:00:01 AM, ,355,355,0,458,458,0,69,68,99,1,1,331,253,0,0,6,67,81,0,0,127,152,0,0,8611,17022,1.0,0.0,0.0,1.0,0.0,0.0,63.0,23.0,0.0,0.0,72.0,27.0,0.0,0.0,1.0,1.0,2019-06-08,8,Sábado,6,0.3577,0.0676
905878352825130_2240417886037830,https://www.facebook.com/NogginLA/posts/2240417886037830,Video,0.0,0.0,06/07/2019 08:00:02 AM, ,262,262,0,338,338,0,39,37,50,0,0,238,184,0,0,3,31,33,0,0,83,87,0,0,9723,30910,3.0,0.0,0.0,3.0,0.0,0.0,37.0,7.0,0.0,0.0,41.0,9.0,0.0,0.0,0.0,0.0,2019-06-07,8,Viernes,6,0.3168,0.0382
905878352825130_1023450517848511,https://www.facebook.com/NogginLA/videos/1023450517848511/,Video,0.0,0.0,06/01/2019 10:25:56 AM, ,251,251,0,322,322,0,385,384,539,0,0,52,29,0,0,35,65,82,0,0,307,400,0,0,34643,34643,2.0,0.0,0.0,2.0,0.0,0.0,384.0,26.0,0.0,0.0,511.0,28.0,0.0,0.0,0.0,0.0,2019-06-01,10,Sábado,6,0.0,0.1116
905878352825130_2233298350083117,https://www.facebook.com/NogginLA/posts/2233298970083055:0,Photo,0.0,0.0,06/01/2019 10:18:07 AM, ,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2019-06-01,10,Sábado,6,0.0,0.0
