"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)"
199643730387838_920917031593834,https://www.facebook.com/NogginBR/posts/920917031593834,"Você procura entretenimento e conteúdo educativo para os seus filhos? Descubra o Noggin, a melhor ferramenta para a etapa pré-escolar, pois é desenvolvido por especialistas dentro de uma plataforma segura e certificada. Baixe agora mesmo!",Video,,,"06/29/2019 02:30:00 PM"," ",56,56,0,77,77,0,4,3,4,0,0,68,49,0,0,2,1,1,0,0,10,10,0,0,2938,15699,2,,,2,,,2,2,,,2,2,,,,
199643730387838_920915234927347,https://www.facebook.com/NogginBR/posts/920915234927347,"Todos os meses o nosso app é abastecido com novos especiais e séries, incluindo temporadas completas dos desenhos mais legais do Nick Jr. Faça o download do app para que seus filhos comecem a curtir agora mesmo!",Video,,,"06/28/2019 04:31:43 PM"," ",563,563,0,748,748,0,15,4,8,0,0,90,61,0,0,4,12,12,0,0,60,68,0,0,3152,24190,9,3,4,10,3,8,3,4,,,4,4,,,,
199643730387838_915598268792377,https://www.facebook.com/NogginBR/posts/915598268792377,"As melhores séries do Nick Jr. com jogos e músicas desenvolvidos por especialistas dentro de uma plataforma segura e sem comerciais, isso é o Noggin. Baixe o app para aproveitar todos os seus benefícios.",Video,,,"06/25/2019 07:45:00 AM"," ",100,100,0,138,138,0,3,3,3,0,0,124,91,0,0,2,0,0,0,0,13,16,0,0,2636,24467,1,,1,1,,1,2,1,,,2,1,,,,
199643730387838_915602292125308,https://www.facebook.com/NogginBR/posts/915602292125308,"Agora os seus pequenos poderão se unir às nossas heroínas multicoloridas em grandes aventuras! 🌎🌱. Baixe o app para curtir Rainbow Rangers em família!",Video,,,"06/22/2019 10:00:01 AM"," ",456,456,0,617,617,0,18,9,12,0,0,110,67,0,0,5,10,10,0,0,56,64,0,0,3794,41705,9,3,1,10,3,1,4,6,,,5,7,,,,
199643730387838_911245355894335,https://www.facebook.com/NogginBR/posts/911245355894335,"Uma plataforma de streaming on demand para crianças pré-escolares. Esse é o serviço que prestamos a milhares de famílias que procuram conteúdos digitais seguros para os pequenos da casa. Baixe o app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"06/15/2019 01:24:00 PM"," ",441,346,94,579,486,93,11,7,9,0,0,89,49,1,1,4,19,22,0,0,52,59,17,17,4239,15145,4,1,2,6,1,2,4,4,,,4,5,,,,
199643730387838_910574282628109,https://www.facebook.com/NogginBR/posts/910574282628109,"As fortalezas e os talentos específicos de seus personagens ganham protagonismo em Rainbow Rangers, uma série que celebra a singularidade, inclusive quando mostra como as diferenças contribuem para fortalecer uma equipe 💛💙💚🧡💜. Baixe o app para os seus pequenos assistirem off-line!",Video,,,"06/14/2019 03:57:05 PM"," ",49,49,0,64,64,0,4,3,4,0,0,51,35,0,0,1,5,5,0,0,12,15,0,0,6053,18814,1,,,1,,,2,1,,,3,1,,,,
199643730387838_906088426410028,https://www.facebook.com/NogginBR/posts/906088426410028,"Duas opções que celebram as diferenças e o trabalho em equipe: nossa trupe favorita de cachorros, a Patrulha Canina, e a nova equipe de salva-vidas multicolorida, Rainbow Rangers. Qual dos dois o seu pequeno vai querer ver? O link para fazer o download do app está no nosso perfil.",Video,,,"06/08/2019 02:50:25 PM"," ",409,409,0,562,562,0,82,70,93,0,0,111,67,0,0,5,66,76,0,0,148,165,0,0,9703,17577,11,3,1,13,3,2,67,8,,,83,10,,,,
199643730387838_905390936479777,https://www.facebook.com/NogginBR/posts/905390936479777,"O melhor do nosso MEGA LANÇAMENTO, Rainbow Rangers 🌈? Cada uma das Rangers tem um talento único que empresta à equipe, não apenas para resgatar, mas também para ampliar a empatia e a compaixão. Se você ainda não tem o Noggin, baixe o app agora mesmo! 👉📱Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"06/07/2019 04:05:28 PM"," ",82,82,0,100,100,0,11,8,12,0,0,86,69,0,0,5,3,3,0,0,23,24,0,0,6709,35305,2,1,,2,1,,7,3,,,8,4,,,,
199643730387838_902305730121631,https://www.facebook.com/NogginBR/posts/902305730121631,"Nós temos os melhores programas do Nick Jr., jogos e especiais para que os seus pequenos aprendam enquanto se divertem. Baixe já!",Video,,,"06/03/2019 01:15:46 PM"," ",92,92,0,122,122,0,7,4,4,0,0,106,78,0,0,4,4,4,0,0,27,28,0,0,4293,19015,3,1,,3,1,,,4,,,,4,,,,
