"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)"
905878352825130_2279754628770822,https://www.facebook.com/NogginLA/posts/2279754628770822,"¿En busca de entretenimiento y contenido educativo para tu peque? ¡Lo encontraste! Noggin es la mejor herramienta para la etapa preescolar, porque nuestro contenido es desarrollado por expertos dentro de una plataforma segura y certificada. ¡Descárgala ya!",Video,,,"06/29/2019 07:00:02 AM"," ",220,220,0,296,296,0,13,10,16,0,0,241,186,0,0,4,13,14,0,0,28,30,0,0,3191,15337,3,,,3,,,7,7,,,8,8,,,,
905878352825130_2279717605441191,https://www.facebook.com/NogginLA/posts/2279717605441191,"¿Puedes comunicarte con emojis? Muéstranos en los comentarios. Con Noggin todos los meses encontrarás especiales y series nuevas dentro de nuestra app, incluso temporadas enteras de varias series de Nick Jr. ¡Descárgala y disfruta ya!",Video,,,"06/28/2019 07:00:02 AM"," ",263,263,0,331,331,0,14,11,17,0,0,288,236,0,0,7,15,15,0,0,53,57,0,0,5247,24190,4,,,4,,,9,7,,,9,8,,,,
905878352825130_2274565079289777,https://www.facebook.com/NogginLA/posts/2274565079289777,"¿Qué es Noggin? Una plataforma segura y sin comerciales con las mejores series de Nick Jr. con juegos y canciones desarrollados por expertos. Descárgala para disfrutar de sus beneficios.",Video,,,"06/25/2019 07:00:01 AM"," ",612,454,151,735,580,155,18,16,20,0,0,531,413,8,8,7,10,10,1,1,64,69,23,23,2991,24467,2,,,2,,,12,8,,,12,8,,,,
905878352825130_2269069103172708,https://www.facebook.com/NogginLA/posts/2269069103172708,"¡Ahora tu peque podrá unirse a nuestras heroínas multicolor en grandes aventuras! 🌎🌱 ¡Descárgate la app para disfrutar con tu peque de Rainbow Rangers!",Video,,,"06/22/2019 06:00:01 AM"," ",259,259,0,326,326,0,38,37,55,1,2,250,204,0,0,6,25,29,0,0,70,86,0,0,9313,41705,3,1,,4,1,,33,14,,,40,15,,,2,1
905878352825130_2256699621076323,https://www.facebook.com/NogginLA/posts/2256699621076323,"Una plataforma de streaming on demand para preescolares. Ese es el servicio que prestamos a miles de familias que buscan contenidos digitales seguros para los más peques de casa. Descarga la app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"06/15/2019 07:00:37 AM"," ",323,323,0,409,409,0,27,25,39,0,0,274,228,0,0,9,23,24,0,0,69,74,0,0,4218,15145,4,1,,4,1,,20,15,,,22,17,,,,
905878352825130_2257157257697226,https://www.facebook.com/NogginLA/posts/2257157257697226,"No te pierdas de nuestro MEGA estreno Rainbow Rangers, una serie que celebra la singularidad y las diferencias de un equipo 💛💙💚🧡💜 ¡Descarga la app para verla offline!",Video,,,"06/14/2019 07:40:57 PM"," ",268,268,0,337,338,0,18,17,29,0,0,261,213,0,0,2,21,22,0,0,64,69,0,0,5861,18814,1,,,1,,,16,9,,,19,10,,,,
905878352825130_2240430762703209,https://www.facebook.com/NogginLA/posts/2240430762703209,"En Noggin tenemos dos opciones que celebran las diferencias y el trabajo en equipo: nuestra patrulla favorita de cachorros Paw Patrol y el nuevo equipo de rescatistas multicolor Rainbow Rangers! ¿A quién verá tu peque? Descarga la app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"06/08/2019 08:00:01 AM"," ",321,321,0,411,411,0,57,56,81,1,1,312,243,0,0,6,52,66,0,0,99,124,0,0,8525,17022,1,,,1,,,51,17,,,60,21,,,1,1
905878352825130_2240417886037830,https://www.facebook.com/NogginLA/posts/2240417886037830,"¿Qué es lo mejor de nuestro MEGA ESTRENO Rainbow Rangers? Cada una de las Rangers tiene un talento único que aporta al equipo, no solo para rescatar, sino también para ampliar la empatía y la compasión. ¡Si aún no tienes Noggin, descárgala ya!",Video,,,"06/07/2019 08:00:02 AM"," ",233,233,0,297,297,0,24,23,35,0,0,218,173,0,0,3,22,23,0,0,62,64,0,0,8816,30910,2,,,2,,,23,6,,,27,8,,,,
905878352825130_1023450517848511,https://www.facebook.com/NogginLA/videos/1023450517848511/,,Video,,,"06/01/2019 10:25:56 AM"," ",224,224,0,281,281,0,365,365,515,0,0,33,19,0,0,34,62,79,0,0,284,379,0,0,34643,34643,1,,,1,,,365,23,,,490,25,,,,
