"Post ID",Permalink,"Post Message",Type,Countries,Languages,Posted,"Audience Targeting","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_all_clicks"
,,,,,,,,"Lifetime: The number of people who had your Page's post enter their screen. Posts include statuses, photos, links, videos and more. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through unpaid distribution. (Unique Users)","Lifetime: The number of people who had your Page's post enter their screen through paid distribution such as an ad. (Unique Users)","Lifetime: The number of times your Page's post entered a person's screen. Posts include statuses, photos, links, videos and more. (Total Count)","Lifetime: The number of times your Page's posts entered a person's screen through unpaid distribution. (Total Count)","Lifetime: The number of times your Page's post entered a person's screen through paid distribution such as an ad. (Total Count)","Lifetime: The number of unique people who engaged in certain ways with your Page post, for example by commenting on, liking, sharing, or clicking upon particular elements of the post. (Unique Users)","Lifetime: The number of people who matched the audience targeting that clicked anywhere in your post on News Feed. (Unique Users)","Lifetime: The number of clicks anywhere in your post on News Feed from the user that matched the audience targeting on it. (Total Count)","Lifetime: The number of people who have given negative feedback to your post. (Unique Users)","Lifetime: The number of times people have given negative feedback to your post. (Total Count)","Lifetime: The number of impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who saw your Page post because they've liked your Page (Unique Users)","Lifetime: The number of paid impressions of your Page post to people who have liked your Page. (Total Count)","Lifetime: The number of people who like your Page and who saw your Page post in an ad or sponsored story. (Unique Users)","Lifetime: The number of people who have liked your Page and clicked anywhere in your posts. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed to 95% of its length after paid promotion. (Total Count)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed for more than 3 seconds without any paid promotion. (Total Count)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Unique Users)","Lifetime: Number of times your video was viewed more than 3 seconds after paid promotion. (Total Count)","Lifetime: Average time video viewed (Total Count)","Lifetime: Length of a video post (Total Count)","Lifetime: The number of unique people who created a story about your Page post by interacting with it. (Unique Users)",,,"Lifetime: The number of stories created about your Page post, by action type. (Total Count)",,,"Lifetime: The number of people who matched the audience targeting on the post that clicked anywhere in the post on News Feed, by type. (Unique Users)",,,,"Lifetime: The number of clicks anywhere in the post on News Feed from users that matched the audience targeting on the post, by type. (Total Count)",,,,"Lifetime: The number of times people have given negative feedback to your post, by type. (Total Count)","Lifetime: The number of people who have given negative feedback to your post, by type. (Unique Users)"
905878352825130_2279754628770822,https://www.facebook.com/NogginLA/posts/2279754628770822,"¿En busca de entretenimiento y contenido educativo para tu peque? ¡Lo encontraste! Noggin es la mejor herramienta para la etapa preescolar, porque nuestro contenido es desarrollado por expertos dentro de una plataforma segura y certificada. ¡Descárgala ya!",Video,,,"06/29/2019 07:00:02 AM"," ",275,275,0,367,367,0,31,28,42,0,0,267,203,0,0,6,34,36,0,0,89,97,0,0,5185,15337,3,,,3,,,23,17,,,24,18,,,,
905878352825130_2279717605441191,https://www.facebook.com/NogginLA/posts/2279717605441191,"¿Puedes comunicarte con emojis? Muéstranos en los comentarios. Con Noggin todos los meses encontrarás especiales y series nuevas dentro de nuestra app, incluso temporadas enteras de varias series de Nick Jr. ¡Descárgala y disfruta ya!",Video,,,"06/28/2019 07:00:02 AM"," ",316,316,0,398,398,0,47,43,77,0,0,312,253,0,0,10,46,55,0,0,123,138,0,0,9265,24190,4,,,4,,,37,29,,,43,34,,,,
905878352825130_2274565079289777,https://www.facebook.com/NogginLA/posts/2274565079289777,"¿Qué es Noggin? Una plataforma segura y sin comerciales con las mejores series de Nick Jr. con juegos y canciones desarrollados por expertos. Descárgala para disfrutar de sus beneficios.",Video,,,"06/25/2019 07:00:01 AM"," ",87881,535,87109,202006,686,201320,526,488,688,0,0,3608,1382,3058,988,16,15,15,2234,2709,97,110,22621,30083,3174,24467,43,4,1,43,4,1,451,39,,,646,42,,,,
905878352825130_2269069103172708,https://www.facebook.com/NogginLA/posts/2269069103172708,"¡Ahora tu peque podrá unirse a nuestras heroínas multicolor en grandes aventuras! 🌎🌱 ¡Descárgate la app para disfrutar con tu peque de Rainbow Rangers!",Video,,,"06/22/2019 06:00:01 AM"," ",310,310,0,395,395,0,58,56,81,1,2,271,216,0,0,8,42,50,0,0,110,130,0,0,10793,41705,5,1,,6,1,,51,22,,,58,23,,,2,1
905878352825130_2256699621076323,https://www.facebook.com/NogginLA/posts/2256699621076323,"Una plataforma de streaming on demand para preescolares. Ese es el servicio que prestamos a miles de familias que buscan contenidos digitales seguros para los más peques de casa. Descarga la app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"06/15/2019 07:00:37 AM"," ",369,369,0,465,465,0,41,39,60,0,0,294,241,0,0,10,35,37,0,0,97,106,0,0,6052,15145,4,1,,4,1,,30,24,1,,33,26,1,,,
905878352825130_2257157257697226,https://www.facebook.com/NogginLA/posts/2257157257697226,"No te pierdas de nuestro MEGA estreno Rainbow Rangers, una serie que celebra la singularidad y las diferencias de un equipo 💛💙💚🧡💜 ¡Descarga la app para verla offline!",Video,,,"06/14/2019 07:40:57 PM"," ",310,310,0,394,395,0,29,27,44,0,0,283,224,0,0,2,34,36,0,0,90,95,0,0,6294,18814,3,,,3,,,24,16,,,27,17,,,,
905878352825130_2240430762703209,https://www.facebook.com/NogginLA/posts/2240430762703209,"En Noggin tenemos dos opciones que celebran las diferencias y el trabajo en equipo: nuestra patrulla favorita de cachorros Paw Patrol y el nuevo equipo de rescatistas multicolor Rainbow Rangers! ¿A quién verá tu peque? Descarga la app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,,,"06/08/2019 08:00:01 AM"," ",355,355,0,458,458,0,69,68,99,1,1,331,253,0,0,6,67,81,0,0,127,152,0,0,8611,17022,1,,,1,,,63,23,,,72,27,,,1,1
905878352825130_2240417886037830,https://www.facebook.com/NogginLA/posts/2240417886037830,"¿Qué es lo mejor de nuestro MEGA ESTRENO Rainbow Rangers? Cada una de las Rangers tiene un talento único que aporta al equipo, no solo para rescatar, sino también para ampliar la empatía y la compasión. ¡Si aún no tienes Noggin, descárgala ya!",Video,,,"06/07/2019 08:00:02 AM"," ",262,262,0,338,338,0,39,37,50,0,0,238,184,0,0,3,31,33,0,0,83,87,0,0,9723,30910,3,,,3,,,37,7,,,41,9,,,,
905878352825130_1023450517848511,https://www.facebook.com/NogginLA/videos/1023450517848511/,,Video,,,"06/01/2019 10:25:56 AM"," ",251,251,0,322,322,0,385,384,539,0,0,52,29,0,0,35,65,82,0,0,307,400,0,0,34643,34643,2,,,2,,,384,26,,,511,28,,,,
905878352825130_2233298350083117,https://www.facebook.com/NogginLA/posts/2233298970083055:0,"Noggin Latinoamérica",Photo,,,"06/01/2019 10:18:07 AM"," ",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,,,3,,,,,,,,,,,,
