Day,Followers,Evolution,Media posted
2019-03-01,2929,0.0,0
2019-03-02,2924,-0.0017,0
2019-03-03,2923,-0.0003,0
2019-03-04,2920,-0.001,0
2019-03-05,2918,-0.0007000000000000001,0
2019-03-06,2918,0.0,0
2019-03-07,2917,-0.0003,0
2019-03-08,2911,-0.0021,3
2019-03-09,2911,0.0,0
2019-03-10,2909,-0.0007000000000000001,0
2019-03-11,2923,0.0048,0
2019-03-12,2930,0.0024,3
2019-03-13,2937,0.0024,1
2019-03-14,2936,-0.0003,1
2019-03-15,2938,0.0007000000000000001,0
2019-03-16,2947,0.0031,0
2019-03-17,2955,0.0027,0
2019-03-18,2959,0.0014,1
2019-03-19,2960,0.0003,1
2019-03-20,2959,-0.0003,1
2019-03-21,2959,0.0,0
2019-03-22,2964,0.0017,1
2019-03-23,2963,-0.0003,0
2019-03-24,2963,0.0,0
2019-03-25,2964,0.0003,0
2019-03-26,2971,0.0024,3
2019-03-27,2979,0.0027,1
2019-03-28,2977,-0.0007000000000000001,0
2019-03-29,2973,-0.0013,1
2019-03-30,2970,-0.001,0
2019-03-31,2969,-0.0003,0
2019-04-01,2973,0.0013,0
2019-04-02,2975,0.0007000000000000001,0
2019-04-03,2978,0.001,3
2019-04-04,2979,0.0003,3
2019-04-05,2975,-0.0013,0
2019-04-06,2975,0.0,3
2019-04-07,2974,-0.0003,0
2019-04-08,2972,-0.0007000000000000001,3
2019-04-09,2972,0.0,3
2019-04-10,2970,-0.0007000000000000001,0
2019-04-11,2969,-0.0003,0
2019-04-12,2971,0.0007000000000000001,0
2019-04-13,2970,-0.0003,0
2019-04-14,2979,0.003,0
2019-04-15,2979,0.0,0
2019-04-16,2991,0.004,1
2019-04-17,2997,0.002,1
2019-04-18,3000,0.001,1
2019-04-19,3003,0.001,0
2019-04-20,3006,0.001,0
2019-04-21,3006,0.0,0
2019-04-22,3010,0.0013,1
2019-04-23,3003,-0.0023,1
2019-04-24,3007,0.0013,1
2019-04-25,3011,0.0013,0
2019-04-26,3038,0.009000000000000001,0
2019-04-27,3041,0.001,0
2019-04-28,3040,-0.0003,0
2019-04-29,3040,0.0,0
2019-04-30,3039,-0.0003,0
2019-05-01,3040,0.0003,0
2019-05-02,3034,-0.002,0
2019-05-03,3034,0.0,0
2019-05-04,3034,0.0,0
2019-05-05,3030,-0.0013,0
2019-05-06,3026,-0.0013,0
2019-05-07,3026,0.0,0
2019-05-08,3030,0.0013,0
2019-05-09,3033,0.001,3
2019-05-10,3032,-0.0003,3
2019-05-11,3035,0.001,0
2019-05-12,3033,-0.0007000000000000001,1
2019-05-13,3034,0.0003,1
2019-05-14,3069,0.0115,0
2019-05-15,3080,0.0036,1
2019-05-16,3081,0.0003,0
2019-05-17,3082,0.0003,3
2019-05-18,3082,0.0,0
2019-05-19,3076,-0.0019,0
2019-05-20,3073,-0.001,1
2019-05-21,3099,0.0085,1
2019-05-22,3099,0.0,0
2019-05-23,3103,0.0013,1
2019-05-24,3099,-0.0013,0
2019-05-25,3098,-0.0003,0
2019-05-26,3099,0.0003,0
2019-05-27,3099,0.0,2
2019-05-28,3098,-0.0003,0
2019-05-29,3093,-0.0016,0
2019-05-30,3089,-0.0013,0
2019-05-31,3091,0.0006,0
2019-06-01,3096,0.0016,0
2019-06-02,3095,-0.0003,0
2019-06-03,3099,0.0013,1
2019-06-04,3097,-0.0006,1
2019-06-05,3101,0.0013,1
2019-06-06,3105,0.0013,3
2019-06-07,3112,0.0023,3
2019-06-08,3116,0.0013,0
2019-06-09,3114,-0.0006,0
2019-06-10,3112,-0.0006,0
2019-06-11,3113,0.0003,1
2019-06-12,3114,0.0003,3
2019-06-13,3113,-0.0003,0
2019-06-14,3118,0.0016,0
2019-06-15,3116,-0.0006,0
2019-06-16,3115,-0.0003,0
2019-06-17,3117,0.0006,1
2019-06-18,3115,-0.0006,1
2019-06-19,3111,-0.0013,0
2019-06-20,3109,-0.0006,1
2019-06-21,3109,0.0,0
2019-06-22,3108,-0.0003,0
2019-06-23,3109,0.0003,0
2019-06-24,3111,0.0006,1
2019-06-25,3114,0.001,0
2019-06-26,3111,-0.001,0
2019-06-27,3109,-0.0006,1
2019-06-28,3112,0.001,0
2019-06-29,3114,0.0006,0
2019-06-30,3114,0.0,0
