Day,Followers,Evolution,Media posted
2019-03-01,2596,-0.0004,0
2019-03-02,2600,0.0015,0
2019-03-03,2600,0.0,0
2019-03-04,2603,0.0012,0
2019-03-05,2605,0.0008,0
2019-03-06,2603,-0.0008,0
2019-03-07,2603,0.0,0
2019-03-08,2599,-0.0015,3
2019-03-09,2598,-0.0004,0
2019-03-10,2598,0.0,0
2019-03-11,2607,0.0035,1
2019-03-12,2621,0.0054,1
2019-03-13,2623,0.0008,1
2019-03-14,2620,-0.0011,3
2019-03-15,2623,0.0011,0
2019-03-16,2630,0.0027,0
2019-03-17,2637,0.0027,0
2019-03-18,2643,0.0023,0
2019-03-19,2649,0.0023,1
2019-03-20,2657,0.003,1
2019-03-21,2667,0.0038,0
2019-03-22,2672,0.0019,1
2019-03-23,2679,0.0026,0
2019-03-24,2682,0.0011,0
2019-03-25,2684,0.0007000000000000001,0
2019-03-26,2699,0.005600000000000001,3
2019-03-27,2706,0.0026,1
2019-03-28,2703,-0.0011,0
2019-03-29,2708,0.0018,1
2019-03-30,2710,0.0007000000000000001,0
2019-03-31,2708,-0.0007000000000000001,0
2019-04-01,2715,0.0026,0
2019-04-02,2715,0.0,3
2019-04-03,2723,0.0029,3
2019-04-04,2727,0.0015,3
2019-04-05,2727,0.0,0
2019-04-06,2724,-0.0011,0
2019-04-07,2726,0.0007000000000000001,0
2019-04-08,2743,0.0062,3
2019-04-09,2749,0.0022,3
2019-04-10,2760,0.004,0
2019-04-11,2763,0.0011,0
2019-04-12,2761,-0.0007000000000000001,0
2019-04-13,2762,0.0004,0
2019-04-14,2762,0.0,0
2019-04-15,2760,-0.0007000000000000001,1
2019-04-16,2764,0.0014,1
2019-04-17,2768,0.0014,1
2019-04-18,2775,0.0025,0
2019-04-19,2777,0.0007000000000000001,0
2019-04-20,2775,-0.0007000000000000001,0
2019-04-21,2778,0.0011,0
2019-04-22,2777,-0.0004,1
2019-04-23,2778,0.0004,1
2019-04-24,2774,-0.0014,1
2019-04-25,2777,0.0011,0
2019-04-26,2791,0.005,0
2019-04-27,2790,-0.0004,0
2019-04-28,2797,0.0025,0
2019-04-29,2800,0.0011,0
2019-04-30,2800,0.0,0
2019-05-01,2799,-0.0004,0
2019-05-02,2796,-0.0011,0
2019-05-03,2794,-0.0007000000000000001,0
2019-05-04,2793,-0.0004,0
2019-05-05,2798,0.0018,0
2019-05-06,2799,0.0004,0
2019-05-07,2799,0.0,0
2019-05-08,2796,-0.0011,0
2019-05-09,2791,-0.0018,3
2019-05-10,2791,0.0,3
2019-05-11,2794,0.0011,0
2019-05-12,2796,0.0007000000000000001,1
2019-05-13,2799,0.0011,1
2019-05-14,2818,0.0068,1
2019-05-15,2826,0.0028,0
2019-05-16,2827,0.0004,0
2019-05-17,2832,0.0018,3
2019-05-18,2830,-0.0007000000000000001,0
2019-05-19,2829,-0.0004,0
2019-05-20,2831,0.0007000000000000001,1
2019-05-21,2835,0.0014,1
2019-05-22,2840,0.0018,0
2019-05-23,2840,0.0,1
2019-05-24,2843,0.0011,0
2019-05-25,2842,-0.0004,0
2019-05-26,2842,0.0,0
2019-05-27,2842,0.0,2
2019-05-28,2841,-0.0004,0
2019-05-29,2840,-0.0004,0
2019-05-30,2839,-0.0004,0
2019-05-31,2838,-0.0004,0
2019-06-01,2837,-0.0004,0
2019-06-02,2840,0.0011,0
2019-06-03,2842,0.0007000000000000001,1
2019-06-04,2846,0.0014,1
2019-06-05,2847,0.0004,1
2019-06-06,2847,0.0,3
2019-06-07,2849,0.0007000000000000001,3
2019-06-08,2850,0.0004,0
2019-06-09,2854,0.0014,0
2019-06-10,2860,0.0021,0
2019-06-11,2861,0.0003,1
2019-06-12,2861,0.0,3
2019-06-13,2859,-0.0007000000000000001,0
2019-06-14,2865,0.0021,0
2019-06-15,2861,-0.0014,0
2019-06-16,2865,0.0014,1
2019-06-17,2860,-0.0017,1
2019-06-18,2864,0.0014,1
2019-06-19,2864,0.0,0
2019-06-20,2864,0.0,1
2019-06-21,2864,0.0,0
2019-06-22,2862,-0.0007000000000000001,0
2019-06-23,2867,0.0017,0
2019-06-24,2868,0.0003,1
2019-06-25,2867,-0.0003,0
2019-06-26,2871,0.0014,0
2019-06-27,2871,0.0,1
2019-06-28,2871,0.0,0
2019-06-29,2871,0.0,0
2019-06-30,2874,0.001,0
