Date and time,Type,Impressions,Reach,Average Impressions,Reach rate,Taps back,Taps forward,Exits,Replies,Completion rate,Exit rate,Fecha,Hora,Dia,Mes
2019-03-01 14:50:45,video,37,36,1.03,0.01228668941979522,0,25,2,0,0.9459000000000001,0.0541,2019-03-01,14,Viernes,3
2019-03-01 14:51:44,video,27,27,1.0,0.009215017064846417,0,23,1,0,0.963,0.03700000000000001,2019-03-01,14,Viernes,3
2019-03-01 14:52:11,video,28,27,1.04,0.009215017064846417,0,24,0,0,1.0,0.0,2019-03-01,14,Viernes,3
2019-03-01 14:52:29,video,29,25,1.16,0.008532423208191127,1,20,2,0,0.9309999999999999,0.069,2019-03-01,14,Viernes,3
2019-03-11 19:33:40,photo,48,47,1.02,0.01610140459061322,0,36,0,0,1.0,0.0,2019-03-11,19,Lunes,3
2019-03-11 19:34:14,video,42,41,1.02,0.01404590613223707,1,33,1,0,0.9762000000000001,0.0238,2019-03-11,19,Lunes,3
2019-03-11 19:34:39,video,42,39,1.08,0.01336073997944502,2,33,0,0,1.0,0.0,2019-03-11,19,Lunes,3
2019-03-11 19:35:17,video,36,36,1.0,0.01233299075025694,1,32,1,0,0.9722,0.0278,2019-03-11,19,Lunes,3
2019-03-11 19:36:42,video,37,34,1.09,0.01164782459746488,0,30,3,0,0.9189,0.08109999999999999,2019-03-11,19,Lunes,3
2019-03-15 18:41:21,photo,37,34,1.09,0.01157643854273068,0,25,1,0,0.973,0.027,2019-03-15,18,Viernes,3
2019-03-15 18:41:42,photo,32,32,1.0,0.01089547156962887,0,26,1,0,0.9688,0.0313,2019-03-15,18,Viernes,3
2019-03-15 18:41:54,photo,32,31,1.03,0.01055498808307797,0,27,1,0,0.9688,0.0313,2019-03-15,18,Viernes,3
2019-03-15 18:42:06,photo,33,31,1.06,0.01055498808307797,1,25,2,0,0.9394,0.06059999999999999,2019-03-15,18,Viernes,3
2019-03-21 19:49:33,video,49,40,1.23,0.01351351351351351,1,33,5,0,0.898,0.102,2019-03-21,19,Jueves,3
2019-03-21 19:52:40,video,49,31,1.58,0.01047297297297297,4,39,4,0,0.9184,0.0816,2019-03-21,19,Jueves,3
2019-03-21 19:53:39,video,33,28,1.18,0.00945945945945946,2,29,1,0,0.9697,0.0303,2019-03-21,19,Jueves,3
2019-03-21 19:54:34,video,57,26,2.19,0.008783783783783784,2,49,5,0,0.9123,0.0877,2019-03-21,19,Jueves,3
2019-03-21 19:56:43,video,27,24,1.13,0.008108108108108109,2,23,3,0,0.8889,0.1111,2019-03-21,19,Jueves,3
2019-03-21 19:57:41,video,30,23,1.3,0.00777027027027027,0,27,1,0,0.9667,0.0333,2019-03-21,19,Jueves,3
2019-03-21 19:58:55,video,25,23,1.09,0.00777027027027027,1,20,1,0,0.96,0.04,2019-03-21,19,Jueves,3
2019-03-28 20:33:10,video,33,31,1.06,0.01040617656931856,0,25,0,0,1.0,0.0,2019-03-28,20,Jueves,3
2019-03-28 20:36:00,video,31,26,1.19,0.00872776099362202,0,28,2,0,0.9355,0.0645,2019-03-28,20,Jueves,3
2019-03-28 20:38:02,video,35,26,1.35,0.00872776099362202,4,26,1,0,0.9714,0.0286,2019-03-28,20,Jueves,3
2019-03-28 20:41:47,video,27,25,1.08,0.008392077878482711,1,24,1,0,0.963,0.03700000000000001,2019-03-28,20,Jueves,3
2019-04-07 19:31:44,photo,71,65,1.09,0.02187079407806191,0,56,6,0,0.9155,0.08449999999999999,2019-04-07,19,Domingo,4
2019-04-07 19:37:22,video,64,58,1.1,0.01951547779273217,0,50,5,0,0.9218999999999999,0.0781,2019-04-07,19,Domingo,4
2019-04-07 19:39:22,video,61,50,1.22,0.01682368775235532,3,46,6,0,0.9016,0.0984,2019-04-07,19,Domingo,4
2019-04-07 19:41:27,video,50,47,1.06,0.015814266487214,2,44,1,0,0.98,0.02,2019-04-07,19,Domingo,4
2019-04-07 19:42:15,photo,50,45,1.11,0.01514131897711978,1,43,0,0,1.0,0.0,2019-04-07,19,Domingo,4
2019-04-11 20:07:28,video,54,43,1.26,0.01447811447811448,0,35,5,0,0.9074,0.0926,2019-04-11,20,Jueves,4
2019-04-11 20:08:29,video,40,35,1.14,0.01178451178451178,2,34,2,0,0.95,0.05,2019-04-11,20,Jueves,4
2019-04-11 20:10:08,video,164,32,5.13,0.01077441077441077,6,144,5,0,0.9695,0.0305,2019-04-11,20,Jueves,4
2019-04-11 20:10:52,video,36,32,1.13,0.01077441077441077,2,30,2,0,0.9444,0.0556,2019-04-11,20,Jueves,4
2019-04-11 20:13:06,video,47,31,1.52,0.01043771043771044,2,32,7,0,0.8511,0.1489,2019-04-11,20,Jueves,4
2019-04-11 20:14:18,video,36,29,1.24,0.009764309764309764,3,29,3,0,0.9167000000000001,0.0833,2019-04-11,20,Jueves,4
2019-04-15 17:53:16,video,41,35,1.17,0.01176075268817204,0,24,2,0,0.9512,0.0488,2019-04-15,17,Lunes,4
2019-04-15 17:54:15,photo,30,28,1.07,0.009408602150537635,1,22,3,0,0.9,0.1,2019-04-15,17,Lunes,4
2019-04-21 17:39:25,photo,58,54,1.07,0.01796407185628742,1,44,4,0,0.9309999999999999,0.069,2019-04-21,17,Domingo,4
2019-04-21 17:40:23,photo,50,46,1.09,0.01530272787757818,1,37,6,0,0.88,0.12,2019-04-21,17,Domingo,4
2019-04-21 17:41:03,photo,42,42,1.0,0.01397205588822355,0,35,0,0,1.0,0.0,2019-04-21,17,Domingo,4
2019-04-21 17:41:43,photo,41,40,1.03,0.01330671989354624,0,38,0,0,1.0,0.0,2019-04-21,17,Domingo,4
2019-04-21 17:43:04,photo,39,37,1.05,0.01230871590153027,1,35,3,0,0.9231,0.07690000000000001,2019-04-21,17,Domingo,4
2019-04-28 17:35:02,video,57,45,1.27,0.01480750246791708,1,22,8,0,0.8595999999999999,0.1404,2019-04-28,17,Domingo,4
2019-05-14 18:43:52,photo,61,51,1.2,0.01680949241924852,0,48,7,0,0.8852,0.1148,2019-05-14,18,Martes,5
2019-05-14 18:46:50,video,185,46,4.02,0.01516150296638102,5,161,5,0,0.973,0.027,2019-05-14,18,Martes,5
2019-05-14 18:50:08,video,72,42,1.71,0.01384311140408701,3,68,6,0,0.9167000000000001,0.0833,2019-05-14,18,Martes,5
2019-05-14 18:53:49,video,49,39,1.26,0.01285431773236651,0,49,0,0,1.0,0.0,2019-05-14,18,Martes,5
2019-05-14 18:54:56,video,52,37,1.41,0.01219512195121951,0,54,1,0,0.9808,0.0192,2019-05-14,18,Martes,5
2019-05-14 18:55:48,video,42,39,1.08,0.01285431773236651,0,40,0,0,1.0,0.0,2019-05-14,18,Martes,5
2019-05-22 19:16:27,video,25,21,1.19,0.006774193548387097,0,15,2,0,0.92,0.08,2019-05-22,19,Miércoles,5
2019-05-25 23:10:45,video,26,26,1.0,0.008395221181788828,0,22,1,0,0.9615,0.0385,2019-05-25,23,Sábado,5
2019-05-28 20:29:39,video,22,22,1.0,0.00710135571336346,0,10,2,0,0.9091,0.0909,2019-05-28,20,Martes,5
2019-05-30 19:55:20,photo,17,14,1.21,0.004530744336569578,0,9,1,0,0.9412,0.0588,2019-05-30,19,Jueves,5
