Date and time,Type,Impressions,Reach,Average Impressions,Reach rate,Taps back,Taps forward,Exits,Replies,Completion rate,Exit rate,Fecha,Hora,Dia,Mes
2019-03-10 12:01:25,photo,82,71,1.15,0.02733923758182518,0,57,5,0,0.9390000000000001,0.061,2019-03-10,12,Domingo,3
2019-03-10 12:01:48,video,71,61,1.16,0.02348864073931459,6,59,2,0,0.9718000000000001,0.0282,2019-03-10,12,Domingo,3
2019-03-10 12:02:07,video,68,60,1.13,0.02310358105506353,4,53,1,0,0.9853000000000001,0.0147,2019-03-10,12,Domingo,3
2019-03-10 12:04:03,video,61,53,1.15,0.02040816326530612,5,46,3,0,0.9508,0.0492,2019-03-10,12,Domingo,3
2019-03-10 12:05:04,photo,56,48,1.17,0.01848286484405083,3,42,5,0,0.9107,0.08929999999999999,2019-03-10,12,Domingo,3
2019-03-15 15:01:28,photo,62,59,1.05,0.02251908396946565,0,40,6,0,0.9031999999999999,0.0968,2019-03-15,15,Viernes,3
2019-03-15 15:01:29,photo,60,53,1.13,0.02022900763358779,3,42,4,0,0.9333,0.0667,2019-03-15,15,Viernes,3
2019-03-15 15:01:30,photo,54,48,1.13,0.0183206106870229,3,37,3,0,0.9444,0.0556,2019-03-15,15,Viernes,3
2019-03-15 15:01:31,photo,48,44,1.09,0.01679389312977099,1,36,6,0,0.875,0.125,2019-03-15,15,Viernes,3
2019-03-21 17:20:31,video,66,62,1.06,0.02329075882794891,0,49,5,0,0.9242,0.0758,2019-03-21,17,Jueves,3
2019-03-21 17:22:29,video,59,52,1.13,0.01953418482344102,2,43,2,0,0.9661,0.0339,2019-03-21,17,Jueves,3
2019-03-21 17:26:30,video,54,49,1.1,0.01840721262208866,2,42,2,0,0.963,0.03700000000000001,2019-03-21,17,Jueves,3
2019-03-21 17:32:28,video,48,46,1.04,0.01728024042073629,1,37,2,0,0.9582999999999999,0.0417,2019-03-21,17,Jueves,3
2019-03-21 17:35:26,video,47,43,1.09,0.01615326821938392,0,40,0,0,1.0,0.0,2019-03-21,17,Jueves,3
2019-03-21 17:40:47,video,46,43,1.07,0.01615326821938392,3,41,1,0,0.9783,0.0217,2019-03-21,17,Jueves,3
2019-03-21 17:41:28,video,45,44,1.02,0.01652892561983471,0,37,1,0,0.9778,0.0222,2019-03-21,17,Jueves,3
2019-03-24 12:02:02,video,62,54,1.15,0.02015677491601344,2,36,5,0,0.9194,0.0806,2019-03-24,12,Domingo,3
2019-03-24 12:02:16,photo,49,44,1.11,0.01642403882045539,4,32,2,0,0.9592,0.0408,2019-03-24,12,Domingo,3
