"Campaign Name","Ad Set Name",Platform,"Delivery Status","Delivery Level","Campaign Name","Result Type",Results,Reach,Impressions,"Cost per Result","Amount Spent (ARS)","3-Second Video Views","Video Average Watch Time",Frequency,Starts,Ends,"Link Clicks","CPC (Cost per Link Click)","CTR (Link Click-Through Rate)","Post Reactions","Post Comments","Post Shares","10-Second Video Views","Cost per 10-Second Video View","Reporting Starts","Reporting Ends"
"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - IG","BENEFICIOS - IG +  MX",instagram,completed,adset,"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - IG",ThruPlay,6846,111455,167053,1.278118609407,8750,51342,3,1.4988380960926,2019-06-03,2019-06-30,,,,223,2,7,11931,0.73338362,2019-06-01,2019-06-30
"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB","MX - SEGURIDAD - FB",facebook,completed,adset,"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - FB",ThruPlay,7389,99233,247162,0.94117336581405,6954.33,26170,3,2.4907238519444,2019-05-24,2019-06-30,,,,158,3,22,10232,0.67966478,2019-06-01,2019-06-30
"MAYO/JUNIO BR - SEGURIDAD - IG","BR - SEGURIDAD - IG",instagram,completed,adset,"MAYO/JUNIO BR - SEGURIDAD - IG",ThruPlay,4792,148416,250394,1.825959933222,8750,33727,2,1.6871092065545,2019-06-03,2019-06-30,,,,169,1,4,7976,1.09704112,2019-06-01,2019-06-30
"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - IG","MX - SEGURIDAD - IG",instagram,completed,adset,"MAYO/JUNIO MX -AO - VIEWS -SEGURIDAD - IG",ThruPlay,3469,109185,184883,2.5223407321995,8750,23080,2,1.6933003617713,2019-06-03,2019-06-30,,,,129,1,2,5528,1.58285094,2019-06-01,2019-06-30
"MAYO /JUNIO - BR - STRY - WEBBY","BR - WEBBY - STRY",instagram,completed,adset,"MAYO /JUNIO - BR - STRY - WEBBY",ThruPlay,9981,88495,160715,0.83384430417794,8322.6,16857,1,1.8160913045935,2019-05-27,2019-06-30,,,,,,1,11150,0.74642152,2019-06-01,2019-06-30
"MAYO/JUNIO - BR - BENEFICIOS - IG","BR - BENEFICIOS - IG",instagram,completed,adset,"MAYO/JUNIO - BR - BENEFICIOS - IG",ThruPlay,1985,45528,62710,1.007556675063,2000,16235,3,1.3773941310842,2019-06-03,2019-06-30,,,,98,1,4,3710,0.53908356,2019-06-01,2019-06-30
"MAYO/JUNIO - MX - IG - DORA","MX - DORA - IG FEED",instagram,completed,adset,"MAYO/JUNIO - MX - IG - DORA",ThruPlay,6304,120544,187377,1.3215672588832,8331.16,32826,2,1.5544282585612,2019-05-27,2019-06-30,,,,474,6,26,8146,1.02273017,2019-06-01,2019-06-30
"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS","SEGURIDAD - FB",facebook,completed,adset,"MAYO - JUNIO - BR - AO -SEGURIDAD - VIEWS",ThruPlay,4165,53248,157806,1.6717767106843,6962.95,17780,2,2.9636042668269,2019-05-24,2019-06-30,,,,14,8,1,6176,1.12742066,2019-06-01,2019-06-30
"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - FB","BENEFICIOS - FB +  MX",facebook,completed,adset,"MAYO /JUNIO - MX - AO - BENEFICIOS - VIEWS - FB",ThruPlay,13837,160989,300213,0.55730505167305,7711.43,67450,3,1.8648044276317,2019-05-24,2019-06-30,,,,143,4,25,23433,0.3290842,2019-06-01,2019-06-30
"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB","BENEFICIOS - FB - BR",facebook,completed,adset,"MAYO/JUNIO -  BR  - VIEWS - BENEFICIOS - FB",ThruPlay,5722,78752,134729,1.2264418035652,7017.7,31952,3,1.7108009955303,2019-05-24,2019-06-30,692,10.14118497,0.51362364450118,146,12,17,10018,0.70050908,2019-06-01,2019-06-30
"MAYO/JUNIO - MX - STRY - WEBBY","MX - WEBBY - STRY",instagram,completed,adset,"MAYO/JUNIO - MX - STRY - WEBBY",ThruPlay,7002,65874,130159,1.1916766638103,8344.12,12202,1,1.9758781916993,2019-05-27,2019-06-30,,,,,,,7872,1.05997459,2019-06-01,2019-06-30
"MAYO/JUNIO - BR - IG - DORA","BR - DORA - IG",instagram,completed,adset,"MAYO/JUNIO - BR - IG - DORA",ThruPlay,8040,166721,265875,1.0167176616915,8174.41,42759,2,1.5947301179815,2019-05-28,2019-06-30,,,,580,3,9,10617,0.76993595,2019-06-01,2019-06-30
"MAYO - BR - IG - DORA","BR - DORA - FB",instagram,not_delivering,adset,"MAYO - BR - IG - DORA",ThruPlay,353,11404,12052,0.79963172804533,282.27,1815,2,1.0568221676605,2019-05-27,2019-06-30,,,,33,,,466,0.60572961,2019-06-01,2019-06-30
