Post ID,Permalink,Post Message,Type,Countries,Languages,Posted,Audience Targeting,Lifetime Post Total Reach,Lifetime Post organic reach,Lifetime Post Paid Reach,Lifetime Post Total Impressions,Lifetime Post Organic Impressions,Lifetime Post Paid Impressions,Lifetime Engaged Users,Lifetime Matched Audience Targeting Consumers on Post,Lifetime Matched Audience Targeting Consumptions on Post,Lifetime Negative Feedback from Users,Lifetime Negative Feedback,Lifetime Post Impressions by people who have liked your Page,Lifetime Post reach by people who like your Page,Lifetime Post Paid Impressions by people who have liked your Page,Lifetime Paid reach of a post by people who like your Page,Lifetime People who have liked your Page and engaged with your post,Lifetime Organic views to 95%,Lifetime Organic views to 95%.1,Lifetime Paid views to 95%,Lifetime Paid views to 95%.1,Lifetime Organic Video Views,Lifetime Organic Video Views.1,Lifetime Paid Video Views,Lifetime Paid Video Views.1,Lifetime Average time video viewed,Lifetime Video length,Lifetime Talking About This (Post) by action type - like,Lifetime Talking About This (Post) by action type - share,Lifetime Talking About This (Post) by action type - comment,Lifetime Post Stories by action type - like,Lifetime Post Stories by action type - share,Lifetime Post Stories by action type - comment,Lifetime Post Audience Targeting Unique Consumptions by Type - video play,Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks,Lifetime Post Audience Targeting Unique Consumptions by Type - photo view,Lifetime Matched Audience Targeting Consumptions by Type - video play,Lifetime Matched Audience Targeting Consumptions by Type - other clicks,Lifetime Matched Audience Targeting Consumptions by Type - link clicks,Lifetime Matched Audience Targeting Consumptions by Type - photo view,Lifetime Negative Feedback from Users by Type - hide_all_clicks,Lifetime Negative Feedback by Type - hide_all_clicks,Region,Fecha,Hora,Dia,Mes,VTR,E.R.
199643730387838_920917031593834,https://www.facebook.com/NogginBR/posts/920917031593834,"Você procura entretenimento e conteúdo educativo para os seus filhos? Descubra o Noggin, a melhor ferramenta para a etapa pré-escolar, pois é desenvolvido por especialistas dentro de uma plataforma segura e certificada. Baixe agora mesmo!",Video,0.0,0.0,06/29/2019 02:30:00 PM, ,67,67,0,97,97,0,9,8,15,0,0,75,50,0,0,2,12,13,0,0,35,40,0,0,5837,15699,2.0,0.0,0.0,2.0,0.0,0.0,7.0,5.0,0.0,0.0,9.0,6.0,0.0,0.0,0.0,0.0,Brasil,2019-06-29,14,Sábado,6,0.5223880597014925,0.1044776119402985
199643730387838_920915234927347,https://www.facebook.com/NogginBR/posts/920915234927347,"Todos os meses o nosso app é abastecido com novos especiais e séries, incluindo temporadas completas dos desenhos mais legais do Nick Jr. Faça o download do app para que seus filhos comecem a curtir agora mesmo!",Video,0.0,0.0,06/28/2019 04:31:43 PM, ,608,608,0,812,812,0,24,12,18,0,0,101,62,0,0,4,28,28,0,0,97,108,0,0,4215,24190,11.0,3.0,4.0,12.0,3.0,8.0,11.0,6.0,0.0,0.0,12.0,6.0,0.0,0.0,0.0,0.0,Brasil,2019-06-28,16,Viernes,6,0.15953947368421054,0.039473684210526314
199643730387838_915598268792377,https://www.facebook.com/NogginBR/posts/915598268792377,"As melhores séries do Nick Jr. com jogos e músicas desenvolvidos por especialistas dentro de uma plataforma segura e sem comerciais, isso é o Noggin. Baixe o app para aproveitar todos os seus benefícios.",Video,0.0,0.0,06/25/2019 07:45:00 AM, ,114,114,0,184,184,0,5,5,7,0,0,148,93,0,0,2,5,7,0,0,37,50,0,0,4074,24467,1.0,0.0,1.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,Brasil,2019-06-25,7,Martes,6,0.32456140350877194,0.043859649122807015
199643730387838_915602292125308,https://www.facebook.com/NogginBR/posts/915602292125308,Agora os seus pequenos poderão se unir às nossas heroínas multicoloridas em grandes aventuras! 🌎🌱. Baixe o app para curtir Rainbow Rangers em família!,Video,0.0,0.0,06/22/2019 10:00:01 AM, ,483,483,0,664,664,0,20,11,16,0,0,117,67,0,0,5,19,20,0,0,74,88,0,0,4731,41705,9.0,3.0,1.0,10.0,3.0,1.0,6.0,7.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,Brasil,2019-06-22,10,Sábado,6,0.15320910973084886,0.041407867494824016
199643730387838_911245355894335,https://www.facebook.com/NogginBR/posts/911245355894335,Uma plataforma de streaming on demand para crianças pré-escolares. Esse é o serviço que prestamos a milhares de famílias que procuram conteúdos digitais seguros para os pequenos da casa. Baixe o app 👉📱https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5,Video,0.0,0.0,06/15/2019 01:24:00 PM, ,127114,359,126673,236217,511,235706,234,217,281,0,0,535,227,444,182,9,24,28,740,910,70,80,26478,33294,2609,15145,15.0,1.0,4.0,19.0,1.0,9.0,85.0,72.0,65.0,0.0,135.0,80.0,66.0,0.0,0.0,0.0,Brasil,2019-06-15,13,Sábado,6,0.0005506867850905487,0.0012351117894173734
199643730387838_910574282628109,https://www.facebook.com/NogginBR/posts/910574282628109,"As fortalezas e os talentos específicos de seus personagens ganham protagonismo em Rainbow Rangers, uma série que celebra a singularidade, inclusive quando mostra como as diferenças contribuem para fortalecer uma equipe 💛💙💚🧡💜. Baixe o app para os seus pequenos assistirem off-line!",Video,0.0,0.0,06/14/2019 03:57:05 PM, ,55,55,0,75,75,0,7,6,9,0,0,52,35,0,0,1,10,10,0,0,23,28,0,0,6566,18814,1.0,0.0,0.0,1.0,0.0,0.0,5.0,2.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0,Brasil,2019-06-14,15,Viernes,6,0.41818181818181815,0.05454545454545454
199643730387838_906088426410028,https://www.facebook.com/NogginBR/posts/906088426410028,"Duas opções que celebram as diferenças e o trabalho em equipe: nossa trupe favorita de cachorros, a Patrulha Canina, e a nova equipe de salva-vidas multicolorida, Rainbow Rangers. Qual dos dois o seu pequeno vai querer ver? O link para fazer o download do app está no nosso perfil.",Video,0.0,0.0,06/08/2019 02:50:25 PM, ,425,425,0,587,587,0,272,261,359,0,0,112,67,0,0,5,210,260,0,0,341,429,0,0,17058,17577,12.0,3.0,1.0,14.0,3.0,2.0,258.0,10.0,0.0,0.0,347.0,12.0,0.0,0.0,0.0,0.0,Brasil,2019-06-08,14,Sábado,6,0.8023529411764706,0.0611764705882353
199643730387838_905390936479777,https://www.facebook.com/NogginBR/posts/905390936479777,"O melhor do nosso MEGA LANÇAMENTO, Rainbow Rangers 🌈? Cada uma das Rangers tem um talento único que empresta à equipe, não apenas para resgatar, mas também para ampliar a empatia e a compaixão. Se você ainda não tem o Noggin, baixe o app agora mesmo! 👉📱Android: https://goo.gl/A8pm8K iOS: https://goo.gl/obGlp5",Video,0.0,0.0,06/07/2019 04:05:28 PM, ,90,90,0,113,113,0,13,10,15,0,0,87,69,0,0,5,5,6,0,0,29,33,0,0,7868,35305,2.0,1.0,0.0,2.0,1.0,0.0,9.0,3.0,0.0,0.0,11.0,4.0,0.0,0.0,0.0,0.0,Brasil,2019-06-07,16,Viernes,6,0.32222222222222224,0.06666666666666667
199643730387838_902305730121631,https://www.facebook.com/NogginBR/posts/902305730121631,"Nós temos os melhores programas do Nick Jr., jogos e especiais para que os seus pequenos aprendam enquanto se divertem. Baixe já!",Video,0.0,0.0,06/03/2019 01:15:46 PM, ,99,99,0,134,134,0,8,5,5,0,0,108,78,0,0,4,7,7,0,0,36,36,0,0,4667,19015,3.0,1.0,0.0,3.0,1.0,0.0,1.0,4.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,Brasil,2019-06-03,13,Lunes,6,0.36363636363636365,0.08080808080808081
199643730387838_902299483455589,https://www.facebook.com/NogginBR/posts/902299483455589,"A segurança do seu filho é a nossa prioridade. Sem comerciais e com uma plataforma certificada, nós garantimos a sua proteção.",Video,0.0,0.0,06/03/2019 01:01:11 PM, ,100,100,0,132,132,0,4,2,2,0,0,105,81,0,0,3,3,3,0,0,17,17,0,0,3922,28512,2.0,1.0,0.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,Brasil,2019-06-03,13,Lunes,6,0.17,0.05
